"","In113Di","La139Di","Pr141Di","Nd143Di","Nd144Di","Nd145Di","Nd146Di","Sm147Di","Nd148Di","Sm149Di","Nd150Di","Sm152Di","Eu153Di","Sm154Di","Gd156Di","Gd158Di","Gd160Di","Dy162Di","Dy163Di","Dy164Di","Ho165Di","Er166Di","Er167Di","Tm169Di","Yb171Di","Yb172Di","Yb173Di","Yb174Di","Yb176Di","Ir193Di","Bi209Di"
"In113Di",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La139Di",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pr141Di",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd143Di",0,0,0,1,0.0221622019272771,0.00348381506646635,0.00327452338092138,0,0.0014202194372068,0,0.000331765551866018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd144Di",0,0,0,0.0029257817490689,1,0.00741349338497657,0.00390339302386366,0,0.00138206159764819,0,0.000804772974951108,0,0,0,0,0,0.00192309642908049,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd145Di",0,0,0,0.00251365416646671,0.0113863436518985,1,0.0400736987135472,0,0.00255059585210776,0,0.00181068811896551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd146Di",0,0,0,0.00137675801618879,0.00296455762223767,0.00264028871227421,1,0.0027437008294983,0.00355660470459232,0,0.00178550383081421,0,0,0,0,0,0,0.00187618745543382,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sm147Di",0,0,0,0,0.00122060964332636,0,0.0010924808071521,1,0.0269354341287134,0.00695747334915808,0.00287971768151848,0.00615938342083236,0,0.00390132681613638,0,0,0,0,8.21047096078425e-05,0,0,0,0,0,0,0,0,0,0,0,0
"Nd148Di",0,0,0,0.00198793307267861,0.0042207890536044,0.0017220885089341,0.00657125515904244,0.000788843642819191,1,0.00250212602648133,0.00573504652513915,0,0,0,0,0,0,0,0,0.00170543513607677,0,0,0,0,0,0,0,0,0,0,0
"Sm149Di",0,0,0,0,0.000348247798443748,0,0,0.00231597164136038,0.00774001246135809,1,0.0173681754337067,0.00616785045361951,0,0.00398763249223449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd150Di",0,0,0,0.00220988257203534,0.00455495678141704,0.00159568798470702,0.00347905317507348,0,0.00251048852217572,0.000646068496455507,1,0,0,0,0,0,0,0,0,0,0,0.00155925007920205,0,0,0,0,0,0,0,0,0
"Sm152Di",0,0,0,0,5.38870474952126e-05,0,0,0.000362957333192796,0.00055611006917737,0.00114146107228684,0.00177356643260315,1,0.00214759551532345,0.00961894627490639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eu153Di",0,0,0,0,0,0,0,0,0,0,0,0.000506087416705176,1,0.0021400631142386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sm154Di",0,0,0,0,9.63444463050576e-05,0,0,0.000896893782264842,0.00109900267841695,0.00123375735254241,0.000971237444922072,0.00645194981724945,0.000526071933696471,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gd156Di",0,0,0,0,0,0,0,0,0,0,0,0.000104094485008507,0,0.000685665386985202,1,0.0102080368682949,0.00369265921234988,0,0,0,0,0,0,0,0,0.000372131933506754,0,0,0,0,0
"Gd158Di",0,0,0,0,0,0,0,0,0,0,0,1.69102369802178e-05,0,0.000265432006742148,0.00238113977285992,1,0.00777938162078191,0,0,0,0,0,0,0,0,0,0,0.00036694558189499,0,0,0
"Gd160Di",0,0,0,0,0,0,0,0,0,0,0,8.05070896246838e-05,0,0.000155493743990645,0.00156993367097778,0.0068421917599536,1,0,0,0,0,0,0,0,0,0,0,0,0.000373030513081051,0,0
"Dy162Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85365597438587e-05,0.000719237470423299,1,0.0401689136872045,0.00986099891372836,0,0,0,0,0,0,0,0,0,0,0
"Dy163Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06712138706824e-05,0.000611802846649084,0.01226025209358,1,0.0183452870274923,0,0,0,0,0,0,0,0,0,0,0
"Dy164Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95032105498735e-05,0,0.000238651485467909,0.00236623452255729,0.0103182176243191,1,0.00338984261859145,0,0,0,0,0,0,0,0,0,0
"Ho165Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000839084780000839,1,0.0033788950239971,0,0,0,0,0,0,0,0,0
"Er166Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65986541961426e-05,0,1,0.0146613037293932,0,0,0,0,0,0,0,0
"Er167Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000454217091541554,0,0.00997513248398002,1,0,0,0,0,0,0,0,0
"Tm169Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Yb171Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0389258567933141,0.00462563867223322,0.00487005931867339,0.00211444495649942,0,0
"Yb172Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279604149333633,1,0.0239431972073877,0.00638437859661829,0.00207882631458761,0,0
"Yb173Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375945639221692,0.0151245844417852,1,0.0351428186304796,0.00462055157288294,0,0
"Yb174Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000699246254623221,0.0017431334927731,0.00344616678330246,1,0.00558693012392322,0,0
"Yb176Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000203941602878065,0.000628437581073892,0.000805820811329826,0.00267172188177549,1,0,0
"Bi209Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
